Date,Prices
01-04-2017,71958
01-05-2017,69770
01-06-2017,69527
01-07-2017,69330
01-08-2017,69424
01-09-2017,71316
01-10-2017,70595
01-11-2017,67939
01-12-2017,68440
01-01-2018,72010
01-02-2018,74243
01-03-2018,72364
01-04-2018,73918
01-05-2018,75967
01-06-2018,78077
01-07-2018,76534
01-08-2018,76788
01-09-2018,77923
01-10-2018,76743
01-11-2018,76017
01-12-2018,74408
01-01-2019,75348
01-02-2019,75486
01-03-2019,71122
01-04-2019,69028
01-05-2019,70876
01-06-2019,72007
01-07-2019,73019
01-08-2019,74863
01-09-2019,76200
01-10-2019,74205
01-11-2019,71679
01-12-2019,69828
01-01-2020,72737
01-02-2020,73381
01-03-2020,74005
01-04-2020,66168
01-05-2020,63465
01-06-2020,71590
01-07-2020,74440
01-08-2020,81730
01-09-2020,91415
01-10-2020,96075
01-11-2020,107551
01-12-2020,123871
01-01-2021,120276
01-02-2021,119739
01-03-2021,132902
